recall_id,organization,product_name,issue,category,updated_at,data_received_at,issue_category
74939,Health Canada,Sudbury Products - ALL-OFF™ Hull and Bottom Cleaner,Labelling and packaging,Chemicals,2024-01-24,2024-05-30 18:48:21.101899,Consumer products
74946,Health Canada,Ic9-Rs Ultrasound Probes,Performance issue,Medical devices - Radiology,2024-01-24,2024-05-30 18:48:21.101899,Health products
74940,Health Canada,Ferrous Fumarate,Product quality,Natural health products,2024-01-23,2024-05-30 18:48:21.101899,Health products
74935,Health Canada,Various Blinds by Persienne Design,Strangulation hazard,Household items,2024-01-23,2024-05-30 18:48:21.101899,Consumer products
74950,Transport Canada,Motorhome recalled by FOREST RIVER,Lights And Instruments,Motorhome,2024-01-23,2024-05-30 18:48:21.101899,Vehicles
74874,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Powertrain,Truck - Med. & H.D.,2024-01-23,2024-05-30 18:48:21.101899,Vehicles
74933,Health Canada,Various Dastex brand blinds and shades,"Choking hazard, Strangulation hazard",Household items,2024-01-22,2024-05-30 18:48:21.101899,Consumer products
74919,Health Canada,"All window coverings from the Vision collection, the Vienna collection as well as the Romain blinds made with the “P-clip”",Strangulation hazard,Household items,2024-01-22,2024-05-30 18:48:21.101899,Consumer products
74938,Canadian Food Inspection Agency,Sweet Pepper (ground spice),Gluten,Herbs and spices,2024-01-22,2024-05-30 18:48:21.101899,Food
74872,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Electrical,Truck - Med. & H.D.,2024-01-22,2024-05-30 18:48:21.101899,Vehicles
74942,Transport Canada,RV Trailer recalled by AIRSTREAM,Accessories,RV Trailer,2024-01-22,2024-05-30 18:48:21.101899,Vehicles
74943,Transport Canada,"Car recalled by LUCID MOTORS, INC.",Heater And Defroster,Car,2024-01-22,2024-05-30 18:48:21.101899,Vehicles
74944,Transport Canada,Truck - Med. & H.D. recalled by MAXI-METAL,Electrical,Truck - Med. & H.D.,2024-01-22,2024-05-30 18:48:21.101899,Vehicles
74936,Health Canada,Zebra blinds and roller blinds equipped with a chain and cord shield,Strangulation hazard,Household items,2024-01-22,2024-05-30 18:48:21.101899,Consumer products
73134,Canadian Food Inspection Agency,Frikandellen,Milk,Meat and poultry - Frozen,2024-01-19,2024-05-30 18:48:21.101899,Food
74929,Health Canada,GM85 Digital Diagnostic Mobile X-Ray System,Performance issue,Medical devices - Radiology,2024-01-19,2024-05-30 18:48:21.101899,Health products
74930,Health Canada,HeartMate Touch™ Communication System,Performance issue,Medical devices - Cardiovascular,2024-01-19,2024-05-30 18:48:21.101899,Health products
74931,Health Canada,"Philips Allura XPER, Allura Centron and Azurion Systems",Performance issue,Medical devices - Radiology,2024-01-19,2024-05-30 18:48:21.101899,Health products
74934,Health Canada,Oxy2Mask,Device compatibility,Medical devices - Anaesthesiology,2024-01-19,2024-05-30 18:48:21.101899,Health products
74925,Health Canada,Cardinal Health Monoject™ syringes,Labelling and packaging,Medical devices - General hospital and personal use,2024-01-18,2024-05-30 18:48:21.101899,Health products
74924,Health Canada,McGRATH™ Mac 2 Laryngoscope Blade,Performance issue,Medical devices - Anaesthesiology,2024-01-18,2024-05-30 18:48:21.101899,Health products
74928,Health Canada,Medfusion® Syringe Infusion Pumps,Performance issue,Medical devices - General hospital and personal use,2024-01-18,2024-05-30 18:48:21.101899,Health products
74932,Canadian Food Inspection Agency,Hydration drink,"Labelling and packaging, Nutrition Issue",Beverages - Non-alcoholic,2024-01-18,2024-05-30 18:48:21.101899,Food
74918,Health Canada,"Vertical blind equipped with a chain and cord shield from ""La Verticalerie""",Strangulation hazard,Household items,2024-01-18,2024-05-30 18:48:21.101899,Consumer products
74910,Health Canada,Steamist Tilt-Up Bath & Shower Seat,Fall hazard,Household items,2024-01-18,2024-05-30 18:48:21.101899,Consumer products
74909,Health Canada,"Home Design, Inc. Low Profile Beds",Injury hazard,Household items - Furniture and furnishings,2024-01-18,2024-05-30 18:48:21.101899,Consumer products
74926,Health Canada,Maquet Hemoconcentrator Set,Performance issue,Medical devices - Cardiovascular,2024-01-18,2024-05-30 18:48:21.101899,Health products
74923,Health Canada,Sofsilk™ Braided Silk Sutures,Sterility Issue,"Medical devices - Cardiovascular, Health products - Medical devices - General hospital and personal use",2024-01-17,2024-05-30 18:48:21.101899,Health products
74922,Health Canada,"Philips Achieva, Intera and Ingenia Systems",Performance issue,Medical devices - Radiology,2024-01-17,2024-05-30 18:48:21.101899,Health products
74920,Health Canada,"Pediatrix Acetaminophen Oral Solution, 160mg/5mL",Product safety,Drugs,2024-01-17,2024-05-30 18:48:21.101899,Health products
74914,Health Canada,Evaporator Coil Drain Pans,Fire hazard,Appliances,2024-01-17,2024-05-30 18:48:21.101899,Consumer products
74921,Health Canada,Disposable Hasson Trocar 12/110mm,"Labelling and packaging, Sterility Issue",Medical devices - General and plastic surgery,2024-01-17,2024-05-30 18:48:21.101899,Health products
74911,Health Canada,Nano Glass-Shield windshield treatment,Labelling and packaging,Chemicals,2024-01-16,2024-05-30 18:48:21.101899,Consumer products
73132,Canadian Food Inspection Agency,Cavendish Crunch Freeze Dried Treats,"Egg, Milk, Soy","Candy, confectionary, snacks and sweeteners",2024-01-16,2024-05-30 18:48:21.101899,Food
74912,Health Canada,PEDIATRIX,Product quality,Drugs,2024-01-15,2024-05-30 18:48:21.101899,Health products
74917,Transport Canada,SUV recalled by VOLVO,Lights And Instruments,SUV,2024-01-15,2024-05-30 18:48:21.101899,Vehicles
74915,Transport Canada,Motorcycle recalled by CAKE,Electrical,Motorcycle,2024-01-15,2024-05-30 18:48:21.101899,Vehicles
74900,Health Canada,Collegiate English Horse-Riding Saddles,Fall hazard,Sports and fitness,2024-01-15,2024-05-30 18:48:21.101899,Consumer products
74913,Canadian Food Inspection Agency,"UF Chia Tropical Fruit Parfait, Yogurt Parfait",Salmonella,Other,2024-01-15,2024-05-30 18:48:21.101899,Food
73137,Canadian Food Inspection Agency,Corn (frozen),Salmonella,Fruits and vegetables - Frozen,2024-01-15,2024-05-30 18:48:21.101899,Food
74959,Canadian Food Inspection Agency,Cayenne (Red Pepper),Other,Herbs and spices,2024-01-12,2024-05-30 18:48:21.101899,Food
74904,Canadian Food Inspection Agency,Various parfait and yogurt bowls,Salmonella,Other,2024-01-12,2024-05-30 18:48:21.101899,Food
72110,Transport Canada,Motorhome recalled by WINNEBAGO INDUSTRIES,Accessories,Motorhome,2024-01-12,2024-05-30 18:48:21.101899,Vehicles
74906,Transport Canada,Truck - Med. & H.D. recalled by OSHKOSH CORPORATION,Electrical,Truck - Med. & H.D.,2024-01-12,2024-05-30 18:48:21.101899,Vehicles
74907,Transport Canada,Motorhome recalled by WINNEBAGO INDUSTRIES,Accessories,Motorhome,2024-01-12,2024-05-30 18:48:21.101899,Vehicles
74902,Health Canada,George Brand Sleepers,"Choking hazard, Ingestion hazard",Clothing and accessories - Clothing,2024-01-12,2024-05-30 18:48:21.101899,Consumer products
74903,Health Canada,Centricity High Acuity Anesthesia and Centricity Anesthesia,Performance issue,Medical devices - General hospital and personal use,2024-01-12,2024-05-30 18:48:21.101899,Health products
74905,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Brakes,Truck - Med. & H.D.,2024-01-11,2024-05-30 18:48:21.101899,Vehicles
74896,Health Canada,FlexiCups Medium Blue,Performance issue,Medical devices - Dental,2024-01-11,2024-05-30 18:48:21.101899,Health products
73136,Canadian Food Inspection Agency,Granola bars and cereals,Salmonella,"Grain products, Food - Grain products - Cereal",2024-01-11,2024-05-30 18:48:21.101899,Food
74851,Transport Canada,SUV recalled by LAND ROVER,Lights And Instruments,SUV,2024-01-11,2024-05-30 18:48:21.101899,Vehicles
74888,Health Canada,Retrospec Scout Bicycle Helmet,Injury hazard,Sports and fitness,2024-01-11,2024-05-30 18:48:21.101899,Consumer products
74899,Health Canada,EVair,Performance issue,Medical devices - Anaesthesiology,2024-01-11,2024-05-30 18:48:21.101899,Health products
74898,Health Canada,Canadian Hospital Specialities MED-RX Wound Management Kits and Catheter Trays,Sterility Issue,"Medical devices - Gastroenterology & Urology, Health products - Medical devices - General and plastic surgery",2024-01-11,2024-05-30 18:48:21.101899,Health products
74876,Transport Canada,Light Truck & Van recalled by FORD,Powertrain,Light Truck & Van,2024-01-10,2024-05-30 18:48:21.101899,Vehicles
74897,Health Canada,NOW® Pumpkin Seed Oil 1000 mg,Product quality,Natural health products,2024-01-10,2024-05-30 18:48:21.101899,Health products
74892,Health Canada,HRIS Acet Cup Cut Tips,Sterility Issue,Medical devices - Orthopaedics,2024-01-10,2024-05-30 18:48:21.101899,Health products
74891,Health Canada,BBL Sensi-Disc Antimicrobial Susceptibility Test Discs,Device compatibility,Medical devices - Microbiology,2024-01-10,2024-05-30 18:48:21.101899,Health products
74893,Health Canada,Single Use Distal Cover and EVIS EXERA III Duodenovideoscope,Performance issue,"Medical devices - Gastroenterology & Urology, Health products - Medical devices - Orthopaedics",2024-01-10,2024-05-30 18:48:21.101899,Health products
74884,Health Canada,Karl Storz Hand Instruments,Sterility Issue,"Medical devices - Ear, nose and throat, Health products - Medical devices - Gastroenterology & Urology, Health products - Medical devices - General and plastic surgery, Health products - Medical devices - Obstetrics and gynaecology",2024-01-10,2024-05-30 18:48:21.101899,Health products
74845,Health Canada,ÅSKSTORM 40W USB charger dark grey NA,"Burn hazard, Electrical hazard",Electronics,2024-01-10,2024-05-30 18:48:21.101899,Consumer products
74890,Health Canada,Various Blinds from Versailles Home Fashion,"Choking hazard, Strangulation hazard",Household items,2024-01-10,2024-05-30 18:48:21.101899,Consumer products
74859,Transport Canada,Car recalled by BMW,Other,Car,2024-01-10,2024-05-30 18:48:21.101899,Vehicles
74908,Canadian Food Inspection Agency,Strong Cider,Non harmful (quality or spoilage),Beverages - Alcoholic,2024-01-10,2024-05-30 18:48:21.101899,Food
74885,Health Canada,Vacuette 4 Ml Fx Sodium Fluoride / Potassium Oxalate Tube,Performance issue,Medical devices,2024-01-09,2024-05-30 18:48:21.101899,Health products
74886,Health Canada,Maquet HLS Sets,Sterility Issue,Medical devices - Gastroenterology & Urology,2024-01-09,2024-05-30 18:48:21.101899,Health products
74887,Health Canada,Rotaflow Centrifugal Pump With Bioline,Sterility Issue,Medical devices - Cardiovascular,2024-01-09,2024-05-30 18:48:21.101899,Health products
73984,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Powertrain,Truck - Med. & H.D.,2024-01-09,2024-05-30 18:48:21.101899,Vehicles
73848,Canadian Food Inspection Agency,Caffeinated Energy Drinks and Mixes,Chemical,Beverages - Non-alcoholic,2024-01-09,2024-05-30 18:48:21.101899,Food
74889,Canadian Food Inspection Agency,Vegan Gluten Free Margherita Pizza,Milk,Multiple food items,2024-01-09,2024-05-30 18:48:21.101899,Food
74883,Health Canada,Medi-Vac® CRD™ Suction Canister Liner 1L,Performance issue,Medical devices - General hospital and personal use,2024-01-08,2024-05-30 18:48:21.101899,Health products
64997,Transport Canada,Light Truck & Van recalled by MERCEDES-BENZ,Visual System,Light Truck & Van,2024-01-08,2024-05-30 18:48:21.101899,Vehicles
74895,Transport Canada,Truck - Med. & H.D. recalled by EMERGENCY ONE,Electrical,Truck - Med. & H.D.,2024-01-08,2024-05-30 18:48:21.101899,Vehicles
74873,Transport Canada,Truck - Med. & H.D. recalled by ROSENBAUER,Electrical,Truck - Med. & H.D.,2024-01-08,2024-05-30 18:48:21.101899,Vehicles
74813,Transport Canada,Snowmobile recalled by POLARIS,Engine,Snowmobile,2024-01-08,2024-05-30 18:48:21.101899,Vehicles
74882,Health Canada,Alinity I HBsAg Reagent Kit,Performance issue,Medical devices - Microbiology,2024-01-08,2024-05-30 18:48:21.101899,Health products
74861,Health Canada,Azurion 7 System,Performance issue,Medical devices - Radiology,2024-01-05,2024-05-30 18:48:21.101899,Health products
74863,Health Canada,Pulse*Spray® Infusion Systems 3fx135x120,Performance issue,Medical devices - General and plastic surgery,2024-01-05,2024-05-30 18:48:21.101899,Health products
74865,Health Canada,BrightView XCT Imaging System and Gamma Camera System,Performance issue,Medical devices - Physical medicine,2024-01-05,2024-05-30 18:48:21.101899,Health products
74868,Canadian Food Inspection Agency,Tonkotsu Ramen Noodles,Milk,Multiple food items,2024-01-05,2024-05-30 18:48:21.101899,Food
74881,Transport Canada,RV Trailer recalled by FOREST RIVER,Structure,RV Trailer,2024-01-05,2024-05-30 18:48:21.101899,Vehicles
74880,Transport Canada,SUV recalled by KIA,Engine,SUV,2024-01-05,2024-05-30 18:48:21.101899,Vehicles
74838,Health Canada,Zebra Blinds with chain and chain guard by Multi-Stores,Strangulation hazard,Household items,2024-01-05,2024-05-30 18:48:21.101899,Consumer products
74864,Health Canada,Express Dry Seal Chest Drain,Sterility Issue,Medical devices - General hospital and personal use,2024-01-05,2024-05-30 18:48:21.101899,Health products
74862,Health Canada,Anti-D (Uppercase) I (Lowercase) A (Superscript),Performance issue,Medical devices - Haematology,2024-01-05,2024-05-30 18:48:21.101899,Health products
74841,Transport Canada,Truck - Med. & H.D. recalled by ALAMO GROUP INC.,Accessories,Truck - Med. & H.D.,2024-01-04,2024-05-30 18:48:21.101899,Vehicles
74871,Transport Canada,Truck - Med. & H.D. recalled by VOLVO TRUCKS,Suspension,Truck - Med. & H.D.,2024-01-04,2024-05-30 18:48:21.101899,Vehicles
74877,Transport Canada,Bus recalled by NEW FLYER,Electrical,Bus,2024-01-04,2024-05-30 18:48:21.101899,Vehicles
74878,Transport Canada,Bus recalled by NEW FLYER,Electrical,Bus,2024-01-04,2024-05-30 18:48:21.101899,Vehicles
74879,Transport Canada,SUV recalled by HYUNDAI,Electrical,SUV,2024-01-04,2024-05-30 18:48:21.101899,Vehicles
74782,Health Canada,HoMedics Therapist Select Percussion Personal Massagers,"Burn hazard, Fire hazard",Beauty and personal care,2024-01-04,2024-05-30 18:48:21.101899,Consumer products
74843,Health Canada,Azurion 7 M20,Performance issue,Medical devices - Radiology,2024-01-04,2024-05-30 18:48:21.101899,Health products
74842,Health Canada,Azurion 7 M20,Performance issue,Medical devices - Radiology,2024-01-04,2024-05-30 18:48:21.101899,Health products
74847,Health Canada,Life Brand Decongestant Nasal Spray 20 mL,Labelling,Drugs,2024-01-04,2024-05-30 18:48:21.101899,Health products
74846,Health Canada,SOLTIVE™ SuperPulsed Laser Ball Tip Fiber Single Use,Sterility Issue,Medical devices - General hospital and personal use,2024-01-04,2024-05-30 18:48:21.101899,Health products
74844,Health Canada,Life Brand Long Lasting Decongestant Nasal Spray 15 mL,Labelling,Drugs,2024-01-04,2024-05-30 18:48:21.101899,Health products
74848,Transport Canada,Bus recalled by NOVA BUS,Suspension,Bus,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74837,Health Canada,Left Heart SMGH-LF 2,Performance issue,Medical devices - General hospital and personal use,2024-01-03,2024-05-30 18:48:21.101899,Health products
74836,Health Canada,Vantage Orian-Main Unit,Labelling and packaging,Medical devices - Radiology,2024-01-03,2024-05-30 18:48:21.101899,Health products
74834,Health Canada,"Trygg Collection BLOCK PARTY Variety Pack (Titanium Kush, Hell Monkey) dried cannabis Lot 2333829",Labelling and packaging,,2024-01-03,2024-05-30 18:48:21.101899,Consumer products
74830,Health Canada,Olmitos Basic Zoo Walker,Injury hazard,Other,2024-01-03,2024-05-30 18:48:21.101899,Consumer products
74853,Transport Canada,Light Truck & Van recalled by MERCEDES-BENZ,Structure,Light Truck & Van,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74852,Transport Canada,SUV recalled by LAND ROVER,Structure,SUV,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74849,Transport Canada,Bus recalled by NOVA BUS,Other,Bus,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74850,Transport Canada,SUV recalled by VOLKSWAGEN,Electrical,SUV,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74856,Transport Canada,SUV recalled by MERCEDES-BENZ,Fuel Supply,SUV,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74860,Transport Canada,Motorcycle recalled by BMW,Lights And Instruments,Motorcycle,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74858,Transport Canada,RV Trailer recalled by WINNEBAGO INDUSTRIES,Accessories,RV Trailer,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74857,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Lights And Instruments,Truck - Med. & H.D.,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74855,Transport Canada,Light Truck & Van recalled by MERCEDES-BENZ,Structure,Light Truck & Van,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74854,Transport Canada,SUV recalled by GENERAL MOTORS,Structure,SUV,2024-01-03,2024-05-30 18:48:21.101899,Vehicles
74835,Health Canada,Spotcheck - Neonatal Galt Microplate Reagent Kit,Performance issue,Medical devices - Haematology,2024-01-02,2024-05-30 18:48:21.101899,Health products
74833,Health Canada,"Captus® 4000e Thyroid Uptake System, all models",Performance issue,Medical devices - Radiology,2024-01-02,2024-05-30 18:48:21.101899,Health products
74832,Health Canada,Cardinal Health Presource® Packs,Sterility Issue,"Medical devices - Cardiovascular, Health products - Medical devices - Gastroenterology & Urology, Health products - Medical devices - General and plastic surgery, Health products - Medical devices - General hospital and personal use",2024-01-02,2024-05-30 18:48:21.101899,Health products
74463,Transport Canada,SUV recalled by JAGUAR,Electrical,SUV,2024-01-02,2024-05-30 18:48:21.101899,Vehicles
74829,Health Canada,Zebra blinds and Roller shades with chain and chain guard,Strangulation hazard,Household items,2024-01-02,2024-05-30 18:48:21.101899,Consumer products
74827,Health Canada,Various Blinds from SBM Canada,"Choking hazard, Strangulation hazard",Household items,2024-01-02,2024-05-30 18:48:21.101899,Consumer products
74839,Transport Canada,Car recalled by GENERAL MOTORS,Airbag,Car,2024-01-02,2024-05-30 18:48:21.101899,Vehicles
74840,Transport Canada,Truck - Med. & H.D. recalled by MACK,Steering,Truck - Med. & H.D.,2024-01-02,2024-05-30 18:48:21.101899,Vehicles
74831,Canadian Food Inspection Agency,Nutramigen A+ LGG Hypoallergenic (Infant Formula),Other,Infant products,2023-12-31,2024-05-30 18:48:21.101899,Food
74818,Health Canada,Smartlux Manual Open Roller Shade (No-Guard Mechanism) Blinds,Strangulation hazard,Household items,2023-12-29,2024-05-30 18:48:21.101899,Consumer products
74796,Health Canada,Klein Tools Portable Power Station and Blackfire Portable Power Station,Burn hazard,Electronics,2023-12-29,2024-05-30 18:48:21.101899,Consumer products
74821,Health Canada,Piccolo Bambino white contour baby changing pad,Choking hazard,Household items,2023-12-29,2024-05-30 18:48:21.101899,Consumer products
74820,Health Canada,Fix A Leak leak sealer,"Chemical hazard, Labelling and packaging",Chemicals,2023-12-29,2024-05-30 18:48:21.101899,Consumer products
74822,Health Canada,Various Home Decorators Collection and HDG corded window coverings,Choking hazard,Household items,2023-12-29,2024-05-30 18:48:21.101899,Consumer products
74819,Health Canada,Kluster magnetic game,Ingestion hazard,Toys and games,2023-12-29,2024-05-30 18:48:21.101899,Consumer products
74381,Transport Canada,Car recalled by GENERAL MOTORS,Airbag,Car,2023-12-29,2024-05-30 18:48:21.101899,Vehicles
74828,Health Canada,Ashwagandha,Product quality,Natural health products,2023-12-29,2024-05-30 18:48:21.101899,Health products
74823,Canadian Food Inspection Agency,Various brands of gorgonzola truffle cheese,Listeria,Dairy,2023-12-28,2024-05-30 18:48:21.101899,Food
63560,Health Canada,Home Bed Assist Handles,Entrapment hazard,Household items - Furniture and furnishings,2023-12-28,2024-05-30 18:48:21.101899,Consumer products
74760,Health Canada,BlendJet 2 Portable Blenders,"Fire hazard, Laceration hazard",Appliances,2023-12-28,2024-05-30 18:48:21.101899,Consumer products
74795,Health Canada,TFL Fiber Cleaver and Stripper,Sterility Issue,Medical devices - Orthopaedics,2023-12-27,2024-05-30 18:48:21.101899,Health products
74783,Health Canada,AAA Blinds 2” SheathCord Fauxwood Blinds,Strangulation hazard,Household items,2023-12-27,2024-05-30 18:48:21.101899,Consumer products
74817,Health Canada,Endopath Echelon Endoscopic Linear Cutter Reload With Gripping Surface Technology,Performance issue,Medical devices - General and plastic surgery,2023-12-27,2024-05-30 18:48:21.101899,Health products
74815,Health Canada,Fixator Pins - Stainless Steel,Device compatibility,Medical devices - Orthopaedics,2023-12-27,2024-05-30 18:48:21.101899,Health products
74867,Canadian Food Inspection Agency,Organic Fruit Sauce (Multi Flavour),Non harmful (quality or spoilage),Fruits and vegetables,2023-12-27,2024-05-30 18:48:21.101899,Food
73103,Health Canada,Various unauthorized health products promoted for lightening skin or treating skin conditions (such as eczema or psoriasis),Unauthorized product,Drugs,2023-12-27,2024-05-30 18:48:21.101899,Health products
74816,Health Canada,Global Medium,Performance issue,Medical devices - Chemistry,2023-12-27,2024-05-30 18:48:21.101899,Health products
74824,Transport Canada,Tire recalled by DEXTER AXLE,Tires,Tire,2023-12-27,2024-05-30 18:48:21.101899,Vehicles
74692,Transport Canada,Truck - Med. & H.D. recalled by MACK,Electrical,Truck - Med. & H.D.,2023-12-27,2024-05-30 18:48:21.101899,Vehicles
74869,Canadian Food Inspection Agency,Erborinato Al Tartufo,Listeria,Dairy,2023-12-25,2024-05-30 18:48:21.101899,Food
74374,Health Canada,"0.9% SODIUM CHLORIDE INJECTION, USP",Product quality,Drugs,2023-12-24,2024-05-30 18:48:21.101899,Health products
74802,Transport Canada,Motorhome recalled by REV RECREATION GROUP,Structure,Motorhome,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74803,Transport Canada,School Bus recalled by DAIMLER TRUCK NORTH AMERICA,Structure,School Bus,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74769,Health Canada,Fondussimo Evolution Fondue Set,Burn hazard,Electronics,2023-12-22,2024-05-30 18:48:21.101899,Consumer products
74774,Health Canada,Brite Blinds Brand 2” SafeCordTM Fauxwood,Strangulation hazard,Household items,2023-12-22,2024-05-30 18:48:21.101899,Consumer products
74776,Health Canada,VIVIDVIBEBEARPAS Playyard Mattresses,Injury hazard,Household items,2023-12-22,2024-05-30 18:48:21.101899,Consumer products
74794,Health Canada,LFS Flat Screen Support Arm Systems,Performance issue,Medical devices - General and plastic surgery,2023-12-22,2024-05-30 18:48:21.101899,Health products
74793,Health Canada,Brightview System,Performance issue,Medical devices - Radiology,2023-12-22,2024-05-30 18:48:21.101899,Health products
74784,Health Canada,Dual Articulating Head Rest,Performance issue,Medical devices - Orthopaedics,2023-12-22,2024-05-30 18:48:21.101899,Health products
74812,Transport Canada,Motor Tricycle recalled by BOMBARDIER RECREATIONAL PRODUCTS,Fuel Supply,Motor Tricycle,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74797,Canadian Food Inspection Agency,"Parmesan Pesto Chicken with Steamed Spinach, Roasted Green Beans & Grape Tomatoes",Other,Other,2023-12-22,2024-05-30 18:48:21.101899,Food
74811,Transport Canada,Light Truck & Van recalled by FORD,Lights And Instruments,Light Truck & Van,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74810,Transport Canada,Motorcycle recalled by HARLEY-DAVIDSON,Steering,Motorcycle,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74809,Transport Canada,Truck - Med. & H.D. recalled by EMERGENCY ONE,Powertrain,Truck - Med. & H.D.,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74808,Transport Canada,SUV recalled by MERCEDES-BENZ,Powertrain,SUV,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74807,Transport Canada,Motorhome recalled by FOREST RIVER,Suspension,Motorhome,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74806,Transport Canada,Motorcycle recalled by DUCATI,Seats And Restraints,Motorcycle,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74805,Transport Canada,Motorcycle recalled by CAKE,Steering,Motorcycle,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74804,Transport Canada,Car recalled by GENERAL MOTORS,Seats And Restraints,Car,2023-12-22,2024-05-30 18:48:21.101899,Vehicles
74772,Health Canada,Introducer kits in Impella Pump Set and Axillary Insertion Kit,Labelling and packaging,Medical devices - Cardiovascular,2023-12-21,2024-05-30 18:48:21.101899,Health products
74767,Health Canada,Pellla Architect Series Casement Windows,Injury hazard,Household items,2023-12-21,2024-05-30 18:48:21.101899,Consumer products
